,Data,Open,High,Low,Close,Vol
0,2022-03-28 09:59:59,147.0,147.0,147.0,147.0,530
1,2022-03-28 10:09:59,158.0,171.0,140.0,147.5,19990
2,2022-03-28 10:19:59,148.5,155.5,147.5,155.0,11240
3,2022-03-28 10:29:59,155.0,155.5,150.0,153.0,10320
4,2022-03-28 10:39:59,153.0,155.0,150.0,151.5,11250
5,2022-03-28 10:49:59,154.0,157.0,151.5,156.5,7490
6,2022-03-28 10:59:59,157.0,159.0,154.5,156.5,4840
7,2022-03-28 11:09:59,156.5,158.0,155.0,157.5,4940
8,2022-03-28 11:19:59,157.5,157.5,154.5,157.0,4060
9,2022-03-28 11:29:59,157.5,167.5,157.0,165.5,16120
10,2022-03-28 11:39:59,163.5,170.0,162.0,170.0,10850
11,2022-03-28 11:49:59,170.0,184.0,170.0,177.5,35910
12,2022-03-28 11:59:59,175.0,178.0,172.0,172.0,8660
13,2022-03-28 12:09:59,173.0,178.5,173.0,178.5,8750
14,2022-03-28 12:19:59,176.5,179.0,175.5,176.0,5310
15,2022-03-28 12:29:59,175.5,177.0,173.0,177.0,5890
16,2022-03-28 12:39:59,177.0,178.0,173.0,173.0,5160
17,2022-03-28 12:49:59,175.5,177.0,173.5,175.5,1980
18,2022-03-28 12:59:59,175.0,176.0,173.0,173.5,4450
19,2022-03-28 13:09:59,173.5,175.0,172.5,172.5,3120
20,2022-03-28 13:19:59,173.0,174.0,168.0,168.0,3070
21,2022-03-28 13:29:59,171.0,171.0,163.0,169.5,7010
22,2022-03-28 13:39:59,167.0,170.0,160.0,165.0,4350
23,2022-03-28 13:49:59,165.5,165.5,165.5,165.5,670
24,2022-03-29 09:59:59,182.0,182.0,182.0,182.0,6520
25,2022-03-29 10:09:59,182.5,182.5,166.5,178.0,19110
26,2022-03-29 10:19:59,177.0,183.0,174.0,179.0,27730
27,2022-03-29 10:29:59,181.5,190.0,178.5,185.0,41120
28,2022-03-29 10:39:59,185.0,185.0,181.5,182.5,10330
29,2022-03-29 10:49:59,182.5,186.0,182.0,184.5,13030
30,2022-03-29 10:59:59,183.0,184.5,181.5,183.0,6620
31,2022-03-29 11:09:59,183.0,184.0,172.5,179.5,11880
32,2022-03-29 11:19:59,179.0,180.0,177.5,179.0,3000
33,2022-03-29 11:29:59,178.5,180.0,178.5,180.0,3280
34,2022-03-29 11:39:59,179.5,181.5,179.0,180.0,4310
35,2022-03-29 11:49:59,180.0,180.5,179.5,180.5,1820
36,2022-03-29 11:59:59,180.5,181.5,178.0,178.5,3550
37,2022-03-29 12:09:59,179.0,180.0,178.0,179.5,2900
38,2022-03-29 12:19:59,179.5,180.0,178.0,179.0,2220
39,2022-03-29 12:29:59,178.5,179.0,177.5,178.0,3160
40,2022-03-29 12:39:59,178.0,178.0,174.0,174.5,5340
41,2022-03-29 12:49:59,175.5,176.0,174.5,175.0,3250
42,2022-03-29 12:59:59,175.0,176.0,174.0,175.0,1570
43,2022-03-29 13:09:59,175.0,175.0,171.0,171.5,2790
44,2022-03-29 13:19:59,172.0,177.0,171.5,177.0,5320
45,2022-03-29 13:29:59,178.0,178.0,176.5,176.5,4310
46,2022-03-29 13:39:59,176.5,176.5,174.0,174.5,560
47,2022-03-29 13:49:59,174.0,174.0,174.0,174.0,1110
48,2022-03-30 09:59:59,176.0,176.0,176.0,176.0,590
49,2022-03-30 10:09:59,176.5,184.5,176.0,179.0,8240
50,2022-03-30 10:19:59,179.0,180.0,179.0,179.5,3530
51,2022-03-30 10:29:59,179.5,180.0,179.0,180.0,4750
52,2022-03-30 10:39:59,179.0,180.0,179.0,179.5,1920
53,2022-03-30 10:49:59,179.5,180.0,179.0,179.5,2120
54,2022-03-30 10:59:59,180.0,180.0,176.5,177.0,3240
55,2022-03-30 11:09:59,177.5,178.5,177.0,178.0,880
56,2022-03-30 11:19:59,177.0,178.0,177.0,177.0,1740
57,2022-03-30 11:29:59,177.0,178.0,176.0,176.5,1990
58,2022-03-30 11:39:59,176.0,176.5,168.0,173.0,5980
59,2022-03-30 11:49:59,172.5,175.0,172.0,173.5,1760
60,2022-03-30 11:59:59,174.5,177.0,172.5,175.0,520
61,2022-03-30 12:09:59,175.0,176.5,174.5,176.0,600
62,2022-03-30 12:19:59,176.0,176.0,175.0,176.0,480
63,2022-03-30 12:29:59,175.5,176.0,175.0,175.0,540
64,2022-03-30 12:39:59,176.0,176.0,174.0,174.0,710
65,2022-03-30 12:49:59,174.0,175.5,174.0,175.5,160
66,2022-03-30 12:59:59,175.0,175.5,174.0,174.5,430
67,2022-03-30 13:09:59,174.5,175.5,174.5,175.5,970
68,2022-03-30 13:19:59,174.5,175.5,172.0,174.5,2400
69,2022-03-30 13:29:59,174.5,175.5,174.0,175.5,1790
70,2022-03-30 13:39:59,175.0,176.5,172.0,175.5,3450
71,2022-03-30 13:49:59,175.0,175.0,175.0,175.0,350
72,2022-03-31 09:59:59,170.0,170.0,170.0,170.0,860
73,2022-03-31 10:09:59,174.0,175.0,170.5,173.0,4660
74,2022-03-31 10:19:59,172.0,173.5,172.0,173.5,1960
75,2022-03-31 10:29:59,173.5,178.5,173.0,177.0,4800
76,2022-03-31 10:39:59,177.5,183.0,176.5,179.5,7260
77,2022-03-31 10:49:59,179.0,181.0,177.5,180.0,1420
78,2022-03-31 10:59:59,181.0,181.5,180.0,181.0,1140
79,2022-03-31 11:09:59,181.0,181.0,178.0,179.5,2430
80,2022-03-31 11:19:59,179.5,180.0,178.5,179.5,850
81,2022-03-31 11:29:59,179.0,180.0,177.0,178.0,1740
82,2022-03-31 11:39:59,178.0,179.0,177.0,177.0,1420
83,2022-03-31 11:49:59,178.5,180.0,178.0,180.0,1470
84,2022-03-31 11:57:12,179.5,180.0,177.5,177.5,850
85,2022-03-31 12:09:59,178.5,179.5,178.5,178.5,310
86,2022-03-31 12:19:59,179.5,180.0,177.0,179.5,4960
87,2022-03-31 12:29:59,177.5,179.5,177.0,177.5,1950
88,2022-03-31 12:39:59,177.0,178.0,177.0,177.0,2400
89,2022-03-31 12:49:59,178.0,179.0,177.5,178.5,970
90,2022-03-31 12:59:59,178.0,179.5,177.0,178.5,1580
91,2022-03-31 13:09:59,178.5,180.0,175.0,178.0,2160
92,2022-03-31 13:19:59,179.5,180.0,178.5,180.0,2020
93,2022-03-31 13:29:59,180.0,180.0,177.5,179.5,520
94,2022-03-31 13:39:59,179.5,180.0,178.0,178.0,260
95,2022-03-31 13:49:59,179.0,180.0,178.0,178.0,760
96,2022-03-31 13:59:08,178.0,179.0,178.0,179.0,100
97,2022-03-31 14:09:59,179.0,179.5,178.5,179.0,410
98,2022-03-31 14:19:59,179.5,179.5,178.0,179.5,1150
99,2022-03-31 14:29:59,179.5,179.5,179.0,179.5,60
100,2022-03-31 14:39:59,179.5,179.5,178.0,178.0,90
101,2022-03-31 14:49:59,179.0,179.5,177.0,177.5,1140
102,2022-03-31 14:58:08,177.5,178.5,177.5,177.5,970
103,2022-03-31 15:09:59,177.5,178.5,177.5,178.5,450
104,2022-03-31 15:19:59,178.0,178.0,178.0,178.0,370
105,2022-03-31 15:29:59,178.0,178.5,178.0,178.5,660
106,2022-03-31 15:39:59,178.0,178.5,174.0,176.0,3560
107,2022-03-31 15:49:59,176.5,178.0,176.5,177.5,480
108,2022-03-31 15:59:08,177.5,178.0,177.0,177.5,280
109,2022-03-31 16:09:59,177.5,178.0,175.5,177.0,3860
110,2022-03-31 16:19:59,177.0,177.0,174.0,175.5,740
111,2022-03-31 16:29:59,176.0,176.5,175.5,176.5,70
112,2022-03-31 16:39:59,176.5,176.5,176.0,176.0,50
113,2022-03-31 16:49:59,176.0,176.5,175.5,176.5,50
