,Data,Open,High,Low,Close,Vol
0,2022-03-28 10:29:59,1990,1990,1990,1990,1
1,2022-03-28 10:39:59,1950,1950,1950,1950,1
2,2022-03-28 10:43:06,2100,2100,1700,1700,2
3,2022-03-29 09:59:59,2105,2105,2105,2105,2
4,2022-03-29 10:09:59,2480,2480,2000,2000,5
5,2022-03-29 10:19:59,2050,2105,2050,2105,5
6,2022-03-29 10:29:59,1865,1995,1865,1995,5
7,2022-03-29 10:39:59,2010,2010,2010,2010,1
8,2022-03-29 10:45:07,1900,1900,1900,1900,1
9,2022-03-29 11:09:59,2000,2010,2000,2010,4
10,2022-03-29 11:44:07,2010,2030,1700,1950,4
11,2022-03-29 13:39:59,2020,2020,2020,2020,1
12,2022-03-29 13:49:13,2085,2085,2085,2085,8
13,2022-03-30 09:59:59,2110,2110,2110,2110,1
14,2022-03-30 10:09:59,1895,1915,1895,1915,2
15,2022-03-30 10:29:59,1915,1915,1915,1915,2
16,2022-03-30 10:37:06,1925,1965,1925,1965,2
17,2022-03-30 11:55:02,1935,1935,1895,1915,8
18,2022-03-30 12:09:07,1940,1965,1940,1950,3
19,2022-03-30 13:09:59,1915,1940,1915,1940,2
20,2022-03-31 10:08:06,1940,1940,1940,1940,1
21,2022-03-31 11:48:08,1940,1940,1940,1940,2
22,2022-03-31 12:29:59,1940,1940,1940,1940,1
23,2022-03-31 12:39:59,2050,2095,2050,2095,2
24,2022-03-31 12:49:59,2000,2000,2000,2000,1
25,2022-03-31 13:09:59,1945,1945,1945,1945,1
26,2022-03-31 13:16:08,1965,1965,1965,1965,1
27,2022-03-31 15:19:59,2095,2120,2050,2050,6
28,2022-03-31 15:29:59,2025,2025,1970,1970,3
29,2022-03-31 15:31:09,1970,1970,1970,1970,2
30,2022-03-31 16:19:59,1995,1995,1995,1995,1
31,2022-03-31 16:22:09,1980,1980,1980,1980,1
32,2022-03-31 17:09:59,2020,2020,2020,2020,1
33,2022-03-31 17:19:59,1970,1970,1970,1970,1
34,2022-03-31 17:34:14,1970,1970,1970,1970,1
35,2022-03-31 18:29:59,1940,1940,1940,1940,1
36,2022-03-31 18:32:09,1995,1995,1995,1995,1
37,2022-04-01 10:19:59,1995,1995,1995,1995,1
38,2022-04-01 10:29:02,1955,1955,1950,1950,6
39,2022-04-01 12:41:07,1995,1995,1995,1995,1
40,2022-04-01 14:49:59,1990,1990,1990,1990,1
41,2022-04-01 15:37:08,1990,1990,1990,1990,1
42,2022-04-01 17:18:08,1960,1960,1905,1905,8
43,2022-04-01 18:19:08,1930,1930,1930,1930,1
44,2022-04-04 10:39:59,1915,1915,1915,1915,1
45,2022-04-04 12:32:07,1910,1910,1910,1910,1
46,2022-04-04 16:39:59,1915,1915,1915,1915,1
47,2022-04-04 16:59:09,1915,1930,1915,1930,8
48,2022-04-05 10:19:59,1950,1950,1950,1950,1
49,2022-04-05 10:59:59,1965,1965,1965,1965,1
50,2022-04-05 11:09:59,1985,1985,1985,1985,1
51,2022-04-05 11:32:12,2065,2065,2000,2000,2
52,2022-04-05 12:19:59,2030,2030,2030,2030,1
53,2022-04-05 12:49:59,2000,2000,1970,1970,3
54,2022-04-05 12:57:02,1950,1950,1950,1950,2
55,2022-04-05 13:09:59,1975,1995,1945,1945,3
56,2022-04-05 13:19:59,1965,2010,1935,1985,6
57,2022-04-05 13:29:59,1990,1990,1990,1990,1
58,2022-04-05 13:55:12,2000,2000,2000,2000,1
59,2022-04-05 14:29:59,2010,2010,2010,2010,1
60,2022-04-05 14:52:08,2025,2025,2025,2025,1
61,2022-04-05 15:25:13,2025,2025,2025,2025,2
62,2022-04-05 16:11:08,2020,2050,2020,2050,7
63,2022-04-05 18:29:59,2060,2060,2060,2060,1
64,2022-04-05 18:39:59,2075,2085,2075,2085,3
65,2022-04-06 10:09:59,2115,2165,2070,2100,19
66,2022-04-06 10:19:59,2125,2130,2125,2130,2
67,2022-04-06 10:29:59,2150,2195,2150,2195,10
68,2022-04-06 10:39:59,2205,2365,2200,2350,42
69,2022-04-06 10:49:59,2350,2370,2350,2350,110
70,2022-04-06 10:59:59,2370,2385,2150,2150,30
71,2022-04-06 11:09:59,2150,2150,2055,2055,10
72,2022-04-06 11:19:59,2025,2065,2005,2030,5
73,2022-04-06 11:28:02,2075,2075,2075,2075,1
74,2022-04-06 13:19:59,2055,2055,2055,2055,1
75,2022-04-06 13:39:07,2050,2050,2050,2050,3
76,2022-04-06 18:39:59,2070,2070,2070,2070,5
77,2022-04-06 18:46:13,2070,2070,2070,2070,2
78,2022-04-07 10:59:06,2110,2110,2110,2110,1
79,2022-04-07 11:09:59,2075,2100,2075,2100,2
80,2022-04-07 11:29:59,2140,2140,2140,2140,1
81,2022-04-07 11:39:59,2080,2080,2080,2080,1
82,2022-04-07 13:09:59,2110,2175,2110,2175,2
83,2022-04-07 13:19:59,2115,2115,2115,2115,1
84,2022-04-07 13:29:59,2115,2210,2115,2155,9
85,2022-04-07 13:44:07,2135,2135,2135,2135,1
86,2022-04-07 15:48:07,2115,2115,2115,2115,1
87,2022-04-07 16:22:08,2140,2140,2140,2140,1
88,2022-04-07 18:03:07,2115,2115,2115,2115,1
89,2022-04-08 10:49:59,2115,2115,2115,2115,1
90,2022-04-08 10:59:07,2115,2115,2115,2115,2
91,2022-04-08 13:27:13,2100,2100,2100,2100,3
92,2022-04-08 14:08:01,2100,2100,2100,2100,1
93,2022-04-11 12:39:59,2070,2095,1950,2095,9
94,2022-04-11 12:49:02,2050,2075,2050,2075,11
95,2022-04-11 13:19:59,2025,2025,2025,2025,9
96,2022-04-11 13:29:59,2025,2025,2000,2000,10
97,2022-04-11 13:39:59,1980,1980,1950,1980,18
98,2022-04-11 13:44:12,2010,2010,2010,2010,3
99,2022-04-11 14:19:59,2030,2030,2030,2030,1
100,2022-04-11 14:43:07,2065,2085,2065,2085,7
101,2022-04-12 10:49:59,2040,2040,2040,2040,2
102,2022-04-12 12:07:02,2045,2045,2045,2045,1
103,2022-04-12 16:39:59,2015,2015,1960,1960,2
104,2022-04-12 17:48:08,2005,2005,2005,2005,1
105,2022-04-13 11:03:02,1990,1990,1990,1990,1
106,2022-04-13 12:19:59,2025,2025,2025,2025,2
107,2022-04-14 11:59:02,2040,2040,2040,2040,3
108,2022-04-14 13:43:03,2040,2040,2040,2040,1
109,2022-04-14 15:07:03,1970,1970,1970,1970,1
110,2022-04-14 16:06:07,2000,2000,2000,2000,1
111,2022-04-14 17:29:59,2040,2040,2040,2040,1
112,2022-04-14 17:31:09,2040,2040,2040,2040,10
113,2022-04-15 12:59:03,2040,2040,2040,2040,2
114,2022-04-15 13:09:59,1980,1980,1975,1975,2
115,2022-04-15 13:49:59,2005,2005,2005,2005,1
116,2022-04-15 15:29:59,1975,1975,1975,1975,3
117,2022-04-15 15:39:03,1970,1970,1970,1970,6
118,2022-04-15 18:29:59,1995,1995,1995,1995,6
119,2022-04-18 09:59:59,1950,1950,1950,1950,2
120,2022-04-18 13:01:02,2030,2030,2030,2030,3
121,2022-04-18 14:39:59,2030,2030,2030,2030,1
122,2022-04-18 15:33:03,1975,1975,1975,1975,1
123,2022-04-19 10:19:59,1960,1960,1950,1950,5
124,2022-04-19 10:29:59,1985,1985,1985,1985,1
125,2022-04-19 10:41:03,1950,1950,1950,1950,5
126,2022-04-19 11:19:59,2035,2035,2035,2035,1
127,2022-04-19 11:29:59,2040,2210,2040,2200,25
128,2022-04-19 11:39:59,2200,2200,2010,2200,28
129,2022-04-19 11:49:59,2220,2505,2220,2500,262
130,2022-04-19 11:59:59,2500,2725,2465,2555,769
131,2022-04-19 12:09:59,2590,2655,2500,2530,140
132,2022-04-19 12:19:59,2595,2605,2215,2310,407
133,2022-04-19 12:29:59,2255,2300,2200,2300,32
134,2022-04-19 12:39:59,2325,2390,2215,2215,125
135,2022-04-19 12:49:59,2215,2330,2160,2330,67
136,2022-04-19 12:59:59,2350,2350,2220,2235,52
137,2022-04-19 13:09:59,2240,2320,2235,2245,43
138,2022-04-19 13:19:59,2310,2450,2245,2340,181
139,2022-04-19 13:29:59,2435,2550,2285,2450,119
140,2022-04-19 13:39:59,2440,2440,2380,2435,35
141,2022-04-19 13:49:59,2400,2425,2280,2300,228
142,2022-04-19 13:59:59,2375,2375,2240,2240,124
143,2022-04-19 14:09:59,2250,2345,2235,2345,102
144,2022-04-19 14:19:59,2305,2345,2250,2270,69
145,2022-04-19 14:29:59,2270,2280,2260,2260,36
146,2022-04-19 14:39:59,2310,2375,2275,2320,33
147,2022-04-19 14:49:59,2320,2320,2285,2285,36
148,2022-04-19 14:58:03,2285,2325,2280,2280,78
149,2022-04-19 15:09:59,2285,2285,2280,2280,21
150,2022-04-19 15:19:59,2330,2360,2285,2300,11
151,2022-04-19 15:29:59,2300,2470,2300,2455,248
152,2022-04-19 15:39:59,2470,2600,2400,2545,64
153,2022-04-19 15:49:59,2540,2590,2415,2460,172
154,2022-04-19 15:59:03,2500,2500,2400,2400,79
155,2022-04-19 16:09:59,2420,2550,2420,2550,40
156,2022-04-19 16:19:59,2505,2505,2350,2350,116
157,2022-04-19 16:39:59,2430,2430,2310,2380,190
158,2022-04-19 16:49:59,2390,2645,2390,2535,437
159,2022-04-19 16:59:08,2450,2495,2340,2340,177
160,2022-04-19 17:09:59,2350,2350,2350,2350,8
161,2022-04-19 17:19:59,2350,2445,2340,2345,61
162,2022-04-19 17:29:59,2345,2450,2345,2445,48
163,2022-04-19 17:39:59,2380,2490,2355,2445,132
164,2022-04-19 17:49:59,2450,2510,2450,2465,45
165,2022-04-19 17:59:59,2465,2655,2450,2655,172
166,2022-04-19 18:09:59,2655,2700,2475,2480,331
167,2022-04-19 18:19:59,2500,2545,2490,2530,67
168,2022-04-19 18:29:59,2485,2485,2100,2300,421
169,2022-04-19 18:39:59,2300,2300,2100,2165,261
170,2022-04-19 18:49:03,2180,2180,2180,2180,7
171,2022-04-20 09:59:59,2185,2185,2185,2185,7
172,2022-04-20 10:09:59,2180,2310,1965,2295,86
173,2022-04-20 10:19:59,2300,2300,2125,2125,86
174,2022-04-20 10:29:59,2125,2135,2010,2015,63
175,2022-04-20 10:39:59,2020,2020,2010,2010,18
176,2022-04-20 10:49:59,2030,2095,2030,2040,88
177,2022-04-20 10:59:07,2040,2075,2035,2035,22
178,2022-04-20 11:09:59,2035,2035,1975,1975,62
179,2022-04-20 11:19:59,1975,2005,1955,1955,76
180,2022-04-20 11:29:59,1970,1970,1960,1960,6
181,2022-04-20 11:39:59,1960,1960,1960,1960,5
182,2022-04-20 11:59:59,1985,1995,1975,1995,15
183,2022-04-20 12:09:59,2010,2010,1970,1970,3
184,2022-04-20 12:19:59,1995,2010,1970,1970,10
185,2022-04-20 12:39:59,1975,1975,1975,1975,10
186,2022-04-20 12:49:59,1980,2025,1980,2025,13
187,2022-04-20 12:55:08,1980,2030,1960,1980,45
188,2022-04-20 13:09:59,1970,2100,1970,2000,23
189,2022-04-20 13:19:59,1995,2095,1995,2000,14
190,2022-04-20 13:39:59,2090,2090,2090,2090,1
191,2022-04-20 13:56:03,2035,2035,2005,2005,6
192,2022-04-20 14:09:59,2005,2005,2005,2005,1
193,2022-04-20 14:19:59,2015,2015,1955,2010,25
194,2022-04-20 14:51:07,2015,2015,2015,2015,1
195,2022-04-20 15:39:59,2015,2015,2000,2000,28
196,2022-04-20 15:49:59,2000,2000,2000,2000,2
197,2022-04-20 16:09:59,2000,2000,2000,2000,1
198,2022-04-20 16:19:59,2000,2000,2000,2000,2
